movieId,item_idx,title,genres
3186,0,"Girl, Interrupted (1999)",Drama
1022,1,Cinderella (1950),Animation|Children's|Musical
1270,2,Back to the Future (1985),Comedy|Sci-Fi
1721,3,Titanic (1997),Drama|Romance
2340,4,Meet Joe Black (1998),Romance
1836,5,"Last Days of Disco, The (1998)",Drama
3408,6,Erin Brockovich (2000),Drama
1207,7,To Kill a Mockingbird (1962),Drama
2804,8,"Christmas Story, A (1983)",Comedy|Drama
260,9,Star Wars, Episode IV - A New Hope (1977)
720,10,Wallace & Gromit, The Best of Aardman Animation (1996)
1193,11,One Flew Over the Cuckoo's Nest (1975),Drama
919,12,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
608,13,Fargo (1996),Crime|Drama|Thriller
2692,14,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
1961,15,Rain Man (1988),Drama
2028,16,Saving Private Ryan (1998),Action|Drama|War
3105,17,Awakenings (1990),Drama
938,18,Gigi (1958),Musical
1035,19,"Sound of Music, The (1965)",Musical
1962,20,Driving Miss Daisy (1989),Drama
150,21,Apollo 13 (1995),Drama
1028,22,Mary Poppins (1964),Children's|Comedy|Musical
2018,23,Bambi (1942),Animation|Children's
1097,24,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
914,25,My Fair Lady (1964),Musical|Romance
1287,26,Ben-Hur (1959),Action|Adventure|Drama
2797,27,Big (1988),Comedy|Fantasy
1246,28,Dead Poets Society (1989),Drama
2762,29,"Sixth Sense, The (1999)",Thriller
661,30,James and the Giant Peach (1996),Animation|Children's|Musical
2918,31,Ferris Bueller's Day Off (1986),Comedy
531,32,"Secret Garden, The (1993)",Children's|Drama
3114,33,Toy Story 2 (1999),Animation|Children's|Comedy
2791,34,Airplane! (1980),Comedy
1029,35,Dumbo (1941),Animation|Children's|Musical
2321,36,Pleasantville (1998),Comedy
594,37,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical
1197,38,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
2398,39,Miracle on 34th Street (1947),Drama
1545,40,Ponette (1996),Drama
527,41,Schindler's List (1993),Drama|War
1,42,Toy Story (1995),Animation|Children's|Comedy
588,43,Aladdin (1992),Animation|Children's|Comedy|Musical
595,44,Beauty and the Beast (1991),Animation|Children's|Musical
745,45,"Close Shave, A (1995)",Animation|Comedy|Thriller
2687,46,Tarzan (1999),Animation|Children's
783,47,"Hunchback of Notre Dame, The (1996)",Animation|Children's|Musical
2294,48,Antz (1998),Animation|Children's
2355,49,"Bug's Life, A (1998)",Animation|Children's|Comedy
1566,50,Hercules (1997),Adventure|Animation|Children's|Comedy|Musical
1907,51,Mulan (1998),Animation|Children's
48,52,Pocahontas (1995),Animation|Children's|Musical|Romance
1198,53,Raiders of the Lost Ark (1981),Action|Adventure
1210,54,Star Wars, Episode VI - Return of the Jedi (1983)
1217,55,Ran (1985),Drama|War
2717,56,Ghostbusters II (1989),Comedy|Horror
1293,57,Gandhi (1982),Drama
2943,58,Indochine (1992),Drama|Romance
1225,59,Amadeus (1984),Drama
318,60,"Shawshank Redemption, The (1994)",Drama
2858,61,American Beauty (1999),Comedy|Drama
3030,62,Yojimbo (1961),Comedy|Drama|Western
1213,63,GoodFellas (1990),Crime|Drama
1945,64,On the Waterfront (1954),Crime|Drama
593,65,"Silence of the Lambs, The (1991)",Drama|Thriller
3095,66,"Grapes of Wrath, The (1940)",Drama
515,67,"Remains of the Day, The (1993)",Drama
1873,68,"Misérables, Les (1998)",Drama
3468,69,"Hustler, The (1961)",Drama
1090,70,Platoon (1986),Drama|War
2501,71,October Sky (1999),Drama
110,72,Braveheart (1995),Action|Drama|War
2067,73,Doctor Zhivago (1965),Drama|Romance|War
3035,74,Mister Roberts (1955),Comedy|Drama|War
